label,text
"B52, Plasmodium malariae malaria",Plasmodium malariae malaria
"B53, Other parasitologically confirmed malaria",Other parasitologically confirmed malaria
"B55, Leishmaniasis",Leishmaniasis
"B56, African trypanosomiasis",African trypanosomiasis
"B57, Chagas disease",Chagas disease
"B58, Toxoplasmosis",Toxoplasmosis
"B60, Other protozoal diseases, not elsewhere classified","Other protozoal diseases, not elsewhere classified"
"B65, Schistosomiasis [bilharziasis]",Schistosomiasis [bilharziasis]
"B66, Other fluke infections",Other fluke infections
"B67, Echinococcosis",Echinococcosis
"B68, Taeniasis",Taeniasis
"B69, Cysticercosis",Cysticercosis
"B70, Diphyllobothriasis and sparganosis",Diphyllobothriasis and sparganosis
"B71, Other cestode infections",Other cestode infections
"B74, Filariasis",Filariasis
"B76, Hookworm diseases",Hookworm diseases
"B77, Ascariasis",Ascariasis
"B78, Strongyloidiasis",Strongyloidiasis
"B81, Other intestinal helminthiases, not elsewhere classified","Other intestinal helminthiases, not elsewhere classified"
"B82, Unspecified intestinal parasitism",Unspecified intestinal parasitism
"B83, Other helminthiases",Other helminthiases
"B85, Pediculosis and phthiriasis",Pediculosis and phthiriasis
"B87, Myiasis",Myiasis
"B88, Other infestations",Other infestations
"B90, Sequelae of tuberculosis",Sequelae of tuberculosis
"B94, Sequelae of other and unspecified infectious and parasitic diseases",Sequelae of other and unspecified infectious and parasitic diseases
"B95, Streptococcus and staphylococcus as the cause of diseases classified to other chapters",Streptococcus and staphylococcus as the cause of diseases classified to other chapters
"B96, Other specified bacterial agents as the cause of diseases classified to other chapters",Other specified bacterial agents as the cause of diseases classified to other chapters
"B97, Viral agents as the cause of diseases classified to other chapters",Viral agents as the cause of diseases classified to other chapters
"B98, Other specified infectious agents as the cause of diseases classified to other chapters",Other specified infectious agents as the cause of diseases classified to other chapters
"C45, Mesothelioma",Mesothelioma
"C46, Kaposi sarcoma",Kaposi sarcoma
"C81, Hodgkin lymphoma",Hodgkin lymphoma
"C82, Follicular lymphoma",Follicular lymphoma
"C83, Non-follicular lymphoma",Non-follicular lymphoma
"C84, Mature T/NK-cell lymphomas",Mature T/NK-cell lymphomas
"C85, Other and unspecified types of non-Hodgkin lymphoma",Other and unspecified types of non-Hodgkin lymphoma
"C86, Other specified types of T/NK-cell lymphoma",Other specified types of T/NK-cell lymphoma
"C91, Lymphoid leukaemia",Lymphoid leukaemia
"C92, Myeloid leukaemia",Myeloid leukaemia
"C93, Monocytic leukaemia",Monocytic leukaemia
"C94, Other leukaemias of specified cell type",Other leukaemias of specified cell type
"C95, Leukaemia of unspecified cell type",Leukaemia of unspecified cell type
"D03, Melanoma in situ",Melanoma in situ
"D17, Benign lipomatous neoplasm",Benign lipomatous neoplasm
"D18, Haemangioma and lymphangioma, any site","Haemangioma and lymphangioma, any site"
"D21, Other benign neoplasms of connective and other soft tissue",Other benign neoplasms of connective and other soft tissue
"D22, Melanocytic naevi",Melanocytic naevi
"D23, Other benign neoplasms of skin",Other benign neoplasms of skin
"D25, Leiomyoma of uterus",Leiomyoma of uterus
"D26, Other benign neoplasms of uterus",Other benign neoplasms of uterus
"D46, Myelodysplastic syndromes",Myelodysplastic syndromes
"D47, Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue","Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
"D50, Iron deficiency anaemia",Iron deficiency anaemia
"D51, Vitamin B12 deficiency anaemia",Vitamin B12 deficiency anaemia
"D52, Folate deficiency anaemia",Folate deficiency anaemia
"D53, Other nutritional anaemias",Other nutritional anaemias
"D55, Anaemia due to enzyme disorders",Anaemia due to enzyme disorders
"D56, Thalassaemia",Thalassaemia
"D57, Sickle-cell disorders",Sickle-cell disorders
"D58, Other hereditary haemolytic anaemias",Other hereditary haemolytic anaemias
"D59, Acquired haemolytic anaemia",Acquired haemolytic anaemia
"D60, Acquired pure red cell aplasia [erythroblastopenia]",Acquired pure red cell aplasia [erythroblastopenia]
"D61, Other aplastic anaemias",Other aplastic anaemias
"D63, Anaemia in chronic diseases classified elsewhere",Anaemia in chronic diseases classified elsewhere
"D64, Other anaemias",Other anaemias
"D68, Other coagulation defects",Other coagulation defects
"D69, Purpura and other haemorrhagic conditions",Purpura and other haemorrhagic conditions
"D72, Other disorders of white blood cells",Other disorders of white blood cells
"D73, Diseases of spleen",Diseases of spleen
"D74, Methaemoglobinaemia",Methaemoglobinaemia
"D75, Other diseases of blood and blood-forming organs",Other diseases of blood and blood-forming organs
"D76, Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue",Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
"D80, Immunodeficiency with predominantly antibody defects",Immunodeficiency with predominantly antibody defects
"D81, Combined immunodeficiencies",Combined immunodeficiencies
"D82, Immunodeficiency associated with other major defects",Immunodeficiency associated with other major defects
"D83, Common variable immunodeficiency",Common variable immunodeficiency
"D84, Other immunodeficiencies",Other immunodeficiencies
"D86, Sarcoidosis",Sarcoidosis
"D89, Other disorders involving the immune mechanism, not elsewhere classified","Other disorders involving the immune mechanism, not elsewhere classified"
"E00, Congenital iodine-deficiency syndrome",Congenital iodine-deficiency syndrome
"E01, Iodine-deficiency-related thyroid disorders and allied conditions",Iodine-deficiency-related thyroid disorders and allied conditions
"E03, Other hypothyroidism",Other hypothyroidism
"E04, Other nontoxic goitre",Other nontoxic goitre
"E05, Thyrotoxicosis [hyperthyroidism]",Thyrotoxicosis [hyperthyroidism]
"E06, Thyroiditis",Thyroiditis
"E07, Other disorders of thyroid",Other disorders of thyroid
"E10, Type 1 diabetes mellitus",Type 1 diabetes mellitus
"E11, Type 2 diabetes mellitus",Type 2 diabetes mellitus
"E12, Malnutrition-related diabetes mellitus",Malnutrition-related diabetes mellitus
"E13, Other specified diabetes mellitus",Other specified diabetes mellitus
"E14, Unspecified diabetes mellitus",Unspecified diabetes mellitus
"E16, Other disorders of pancreatic internal secretion",Other disorders of pancreatic internal secretion
"E20, Hypoparathyroidism",Hypoparathyroidism
"E21, Hyperparathyroidism and other disorders of parathyroid gland",Hyperparathyroidism and other disorders of parathyroid gland
"E22, Hyperfunction of pituitary gland",Hyperfunction of pituitary gland
"E23, Hypofunction and other disorders of pituitary gland",Hypofunction and other disorders of pituitary gland
"E24, Cushing syndrome",Cushing syndrome
"E25, Adrenogenital disorders",Adrenogenital disorders
"E26, Hyperaldosteronism",Hyperaldosteronism
"E27, Other disorders of adrenal gland",Other disorders of adrenal gland
"E28, Ovarian dysfunction",Ovarian dysfunction
"E29, Testicular dysfunction",Testicular dysfunction
"E30, Disorders of puberty, not elsewhere classified","Disorders of puberty, not elsewhere classified"
"E31, Polyglandular dysfunction",Polyglandular dysfunction
"E32, Diseases of thymus",Diseases of thymus
"E34, Other endocrine disorders",Other endocrine disorders
"E35, Disorders of endocrine glands in diseases classified elsewhere",Disorders of endocrine glands in diseases classified elsewhere
"E44, Protein-energy malnutrition of moderate and mild degree",Protein-energy malnutrition of moderate and mild degree
"E50, Vitamin A deficiency",Vitamin A deficiency
"E51, Thiamine deficiency",Thiamine deficiency
"E53, Deficiency of other B group vitamins",Deficiency of other B group vitamins
"E55, Vitamin D deficiency",Vitamin D deficiency
"E56, Other vitamin deficiencies",Other vitamin deficiencies
"E61, Deficiency of other nutrient elements",Deficiency of other nutrient elements
"E63, Other nutritional deficiencies",Other nutritional deficiencies
"E64, Sequelae of malnutrition and other nutritional deficiencies",Sequelae of malnutrition and other nutritional deficiencies
"E66, Obesity",Obesity
"E67, Other hyperalimentation",Other hyperalimentation
"E70, Disorders of aromatic amino-acid metabolism",Disorders of aromatic amino-acid metabolism
"E71, Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism",Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
"E72, Other disorders of amino-acid metabolism",Other disorders of amino-acid metabolism
"E73, Lactose intolerance",Lactose intolerance
"E74, Other disorders of carbohydrate metabolism",Other disorders of carbohydrate metabolism
"E75, Disorders of sphingolipid metabolism and other lipid storage disorders",Disorders of sphingolipid metabolism and other lipid storage disorders
"E76, Disorders of glycosaminoglycan metabolism",Disorders of glycosaminoglycan metabolism
"E77, Disorders of glycoprotein metabolism",Disorders of glycoprotein metabolism
"E78, Disorders of lipoprotein metabolism and other lipidaemias",Disorders of lipoprotein metabolism and other lipidaemias
"E79, Disorders of purine and pyrimidine metabolism",Disorders of purine and pyrimidine metabolism
"E80, Disorders of porphyrin and bilirubin metabolism",Disorders of porphyrin and bilirubin metabolism
"E83, Disorders of mineral metabolism",Disorders of mineral metabolism
"E84, Cystic fibrosis",Cystic fibrosis
"E85, Amyloidosis",Amyloidosis
"E87, Other disorders of fluid, electrolyte and acid-base balance","Other disorders of fluid, electrolyte and acid-base balance"
"E88, Other metabolic disorders",Other metabolic disorders
"E89, Postprocedural endocrine and metabolic disorders, not elsewhere classified","Postprocedural endocrine and metabolic disorders, not elsewhere classified"
"F00, Dementia in Alzheimer disease",Dementia in Alzheimer disease
"F01, Vascular dementia",Vascular dementia
"F02, Dementia in other diseases classified elsewhere",Dementia in other diseases classified elsewhere
"F05, Delirium, not induced by alcohol and other psychoactive substances","Delirium, not induced by alcohol and other psychoactive substances"
"F06, Other mental disorders due to brain damage and dysfunction and to physical disease",Other mental disorders due to brain damage and dysfunction and to physical disease
"F07, Personality and behavioural disorders due to brain disease, damage and dysfunction","Personality and behavioural disorders due to brain disease, damage and dysfunction"
"F10, Mental and behavioural disorders due to use of alcohol",Mental and behavioural disorders due to use of alcohol
"F11, Mental and behavioural disorders due to use of opioids",Mental and behavioural disorders due to use of opioids
"F12, Mental and behavioural disorders due to use of cannabinoids",Mental and behavioural disorders due to use of cannabinoids
"F13, Mental and behavioural disorders due to use of sedatives or hypnotics",Mental and behavioural disorders due to use of sedatives or hypnotics
"F14, Mental and behavioural disorders due to use of cocaine",Mental and behavioural disorders due to use of cocaine
"F15, Mental and behavioural disorders due to use of other stimulants, including caffeine","Mental and behavioural disorders due to use of other stimulants, including caffeine"
"F16, Mental and behavioural disorders due to use of hallucinogens",Mental and behavioural disorders due to use of hallucinogens
"F17, Mental and behavioural disorders due to use of tobacco",Mental and behavioural disorders due to use of tobacco
"F18, Mental and behavioural disorders due to use of volatile solvents",Mental and behavioural disorders due to use of volatile solvents
"F19, Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances",Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
"F20, Schizophrenia",Schizophrenia
"F22, Persistent delusional disorders",Persistent delusional disorders
"F23, Acute and transient psychotic disorders",Acute and transient psychotic disorders
"F25, Schizoaffective disorders",Schizoaffective disorders
"F30, Manic episode",Manic episode
"F31, Bipolar affective disorder",Bipolar affective disorder
"F32, Depressive episode",Depressive episode
"F33, Recurrent depressive disorder",Recurrent depressive disorder
"F34, Persistent mood [affective] disorders",Persistent mood [affective] disorders
"F38, Other mood [affective] disorders",Other mood [affective] disorders
"F40, Phobic anxiety disorders",Phobic anxiety disorders
"F41, Other anxiety disorders",Other anxiety disorders
"F42, Obsessive-compulsive disorder",Obsessive-compulsive disorder
"F43, Reaction to severe stress, and adjustment disorders","Reaction to severe stress, and adjustment disorders"
"F44, Dissociative [conversion] disorders",Dissociative [conversion] disorders
"F45, Somatoform disorders",Somatoform disorders
"F48, Other neurotic disorders",Other neurotic disorders
"F50, Eating disorders",Eating disorders
"F51, Nonorganic sleep disorders",Nonorganic sleep disorders
"F52, Sexual dysfunction, not caused by organic disorder or disease","Sexual dysfunction, not caused by organic disorder or disease"
"F53, Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"F60, Specific personality disorders",Specific personality disorders
"F62, Enduring personality changes, not attributable to brain damage and disease","Enduring personality changes, not attributable to brain damage and disease"
"F63, Habit and impulse disorders",Habit and impulse disorders
"F64, Gender identity disorders",Gender identity disorders
"F65, Disorders of sexual preference",Disorders of sexual preference
"F66, Psychological and behavioural disorders associated with sexual development and orientation",Psychological and behavioural disorders associated with sexual development and orientation
"F68, Other disorders of adult personality and behaviour",Other disorders of adult personality and behaviour
"F70, Mild mental retardation",Mild mental retardation
"F71, Moderate mental retardation",Moderate mental retardation
"F72, Severe mental retardation",Severe mental retardation
"F73, Profound mental retardation",Profound mental retardation
"F78, Other mental retardation",Other mental retardation
"F79, Unspecified mental retardation",Unspecified mental retardation
"F80, Specific developmental disorders of speech and language",Specific developmental disorders of speech and language
"F81, Specific developmental disorders of scholastic skills",Specific developmental disorders of scholastic skills
"F84, Pervasive developmental disorders",Pervasive developmental disorders
"F90, Hyperkinetic disorders",Hyperkinetic disorders
"F91, Conduct disorders",Conduct disorders
"F92, Mixed disorders of conduct and emotions",Mixed disorders of conduct and emotions
"F93, Emotional disorders with onset specific to childhood",Emotional disorders with onset specific to childhood
"F94, Disorders of social functioning with onset specific to childhood and adolescence",Disorders of social functioning with onset specific to childhood and adolescence
"F95, Tic disorders",Tic disorders
"F98, Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence",Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
"G00, Bacterial meningitis, not elsewhere classified","Bacterial meningitis, not elsewhere classified"
"G02, Meningitis in other infectious and parasitic diseases classified elsewhere",Meningitis in other infectious and parasitic diseases classified elsewhere
"G03, Meningitis due to other and unspecified causes",Meningitis due to other and unspecified causes
"G04, Encephalitis, myelitis and encephalomyelitis","Encephalitis, myelitis and encephalomyelitis"
"G05, Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
"G06, Intracranial and intraspinal abscess and granuloma",Intracranial and intraspinal abscess and granuloma
"G11, Hereditary ataxia",Hereditary ataxia
"G12, Spinal muscular atrophy and related syndromes",Spinal muscular atrophy and related syndromes
"G13, Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere",Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
"G21, Secondary parkinsonism",Secondary parkinsonism
"G23, Other degenerative diseases of basal ganglia",Other degenerative diseases of basal ganglia
"G24, Dystonia",Dystonia
"G25, Other extrapyramidal and movement disorders",Other extrapyramidal and movement disorders
"G30, Alzheimer disease",Alzheimer disease
"G31, Other degenerative diseases of nervous system, not elsewhere classified","Other degenerative diseases of nervous system, not elsewhere classified"
"G32, Other degenerative disorders of nervous system in diseases classified elsewhere",Other degenerative disorders of nervous system in diseases classified elsewhere
"G36, Other acute disseminated demyelination",Other acute disseminated demyelination
"G37, Other demyelinating diseases of central nervous system",Other demyelinating diseases of central nervous system
"G40, Epilepsy",Epilepsy
"G41, Status epilepticus",Status epilepticus
"G43, Migraine",Migraine
"G44, Other headache syndromes",Other headache syndromes
"G45, Transient cerebral ischaemic attacks and related syndromes",Transient cerebral ischaemic attacks and related syndromes
"G46, Vascular syndromes of brain in cerebrovascular diseases",Vascular syndromes of brain in cerebrovascular diseases
"G47, Sleep disorders",Sleep disorders
"G50, Disorders of trigeminal nerve",Disorders of trigeminal nerve
"G51, Facial nerve disorders",Facial nerve disorders
"G52, Disorders of other cranial nerves",Disorders of other cranial nerves
"G53, Cranial nerve disorders in diseases classified elsewhere",Cranial nerve disorders in diseases classified elsewhere
"G54, Nerve root and plexus disorders",Nerve root and plexus disorders
"G55, Nerve root and plexus compressions in diseases classified elsewhere",Nerve root and plexus compressions in diseases classified elsewhere
"G56, Mononeuropathies of upper limb",Mononeuropathies of upper limb
"G57, Mononeuropathies of lower limb",Mononeuropathies of lower limb
"G58, Other mononeuropathies",Other mononeuropathies
"G59, Mononeuropathy in diseases classified elsewhere",Mononeuropathy in diseases classified elsewhere
"G60, Hereditary and idiopathic neuropathy",Hereditary and idiopathic neuropathy
"G61, Inflammatory polyneuropathy",Inflammatory polyneuropathy
"G62, Other polyneuropathies",Other polyneuropathies
"G63, Polyneuropathy in diseases classified elsewhere",Polyneuropathy in diseases classified elsewhere
"G70, Myasthenia gravis and other myoneural disorders",Myasthenia gravis and other myoneural disorders
"G71, Primary disorders of muscles",Primary disorders of muscles
"G72, Other myopathies",Other myopathies
"G73, Disorders of myoneural junction and muscle in diseases classified elsewhere",Disorders of myoneural junction and muscle in diseases classified elsewhere
"G80, Cerebral palsy",Cerebral palsy
"G81, Hemiplegia",Hemiplegia
"G82, Paraplegia and tetraplegia",Paraplegia and tetraplegia
"G83, Other paralytic syndromes",Other paralytic syndromes
"G90, Disorders of autonomic nervous system",Disorders of autonomic nervous system
"G91, Hydrocephalus",Hydrocephalus
"G93, Other disorders of brain",Other disorders of brain
"G94, Other disorders of brain in diseases classified elsewhere",Other disorders of brain in diseases classified elsewhere
"G95, Other diseases of spinal cord",Other diseases of spinal cord
"G96, Other disorders of central nervous system",Other disorders of central nervous system
"G97, Postprocedural disorders of nervous system, not elsewhere classified","Postprocedural disorders of nervous system, not elsewhere classified"
"G99, Other disorders of nervous system in diseases classified elsewhere",Other disorders of nervous system in diseases classified elsewhere
"H00, Hordeolum and chalazion",Hordeolum and chalazion
"H01, Other inflammation of eyelid",Other inflammation of eyelid
"H02, Other disorders of eyelid",Other disorders of eyelid
"H03, Disorders of eyelid in diseases classified elsewhere",Disorders of eyelid in diseases classified elsewhere
"H04, Disorders of lacrimal system",Disorders of lacrimal system
"H05, Disorders of orbit",Disorders of orbit
"H06, Disorders of lacrimal system and orbit in diseases classified elsewhere",Disorders of lacrimal system and orbit in diseases classified elsewhere
"H10, Conjunctivitis",Conjunctivitis
"H11, Other disorders of conjunctiva",Other disorders of conjunctiva
"H13, Disorders of conjunctiva in diseases classified elsewhere",Disorders of conjunctiva in diseases classified elsewhere
"H15, Disorders of sclera",Disorders of sclera
"H16, Keratitis",Keratitis
"H17, Corneal scars and opacities",Corneal scars and opacities
"H18, Other disorders of cornea",Other disorders of cornea
"H19, Disorders of sclera and cornea in diseases classified elsewhere",Disorders of sclera and cornea in diseases classified elsewhere
"H20, Iridocyclitis",Iridocyclitis
"H21, Other disorders of iris and ciliary body",Other disorders of iris and ciliary body
"H22, Disorders of iris and ciliary body in diseases classified elsewhere",Disorders of iris and ciliary body in diseases classified elsewhere
"H25, Senile cataract",Senile cataract
"H26, Other cataract",Other cataract
"H27, Other disorders of lens",Other disorders of lens
"H28, Cataract and other disorders of lens in diseases classified elsewhere",Cataract and other disorders of lens in diseases classified elsewhere
"H30, Chorioretinal inflammation",Chorioretinal inflammation
"H31, Other disorders of choroid",Other disorders of choroid
"H32, Chorioretinal disorders in diseases classified elsewhere",Chorioretinal disorders in diseases classified elsewhere
"H33, Retinal detachments and breaks",Retinal detachments and breaks
"H34, Retinal vascular occlusions",Retinal vascular occlusions
"H35, Other retinal disorders",Other retinal disorders
"H36, Retinal disorders in diseases classified elsewhere",Retinal disorders in diseases classified elsewhere
"H40, Glaucoma",Glaucoma
"H42, Glaucoma in diseases classified elsewhere",Glaucoma in diseases classified elsewhere
"H43, Disorders of vitreous body",Disorders of vitreous body
"H44, Disorders of globe",Disorders of globe
"H45, Disorders of vitreous body and globe in diseases classified elsewhere",Disorders of vitreous body and globe in diseases classified elsewhere
"H47, Other disorders of optic [2nd] nerve and visual pathways",Other disorders of optic [2nd] nerve and visual pathways
"H48, Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere",Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
"H49, Paralytic strabismus",Paralytic strabismus
"H50, Other strabismus",Other strabismus
"H51, Other disorders of binocular movement",Other disorders of binocular movement
"H52, Disorders of refraction and accommodation",Disorders of refraction and accommodation
"H53, Visual disturbances",Visual disturbances
"H54, Visual impairment including blindness",Visual impairment including blindness
"H57, Other disorders of eye and adnexa",Other disorders of eye and adnexa
"H58, Other disorders of eye and adnexa in diseases classified elsewhere",Other disorders of eye and adnexa in diseases classified elsewhere
"H59, Postprocedural disorders of eye and adnexa, not elsewhere classified","Postprocedural disorders of eye and adnexa, not elsewhere classified"
"H60, Otitis externa",Otitis externa
"H61, Other disorders of external ear",Other disorders of external ear
"H62, Disorders of external ear in diseases classified elsewhere",Disorders of external ear in diseases classified elsewhere
"H65, Nonsuppurative otitis media",Nonsuppurative otitis media
"H66, Suppurative and unspecified otitis media",Suppurative and unspecified otitis media
"H67, Otitis media in diseases classified elsewhere",Otitis media in diseases classified elsewhere
"H68, Eustachian salpingitis and obstruction",Eustachian salpingitis and obstruction
"H69, Other disorders of Eustachian tube",Other disorders of Eustachian tube
"H70, Mastoiditis and related conditions",Mastoiditis and related conditions
"H72, Perforation of tympanic membrane",Perforation of tympanic membrane
"H73, Other disorders of tympanic membrane",Other disorders of tympanic membrane
"H74, Other disorders of middle ear and mastoid",Other disorders of middle ear and mastoid
"H75, Other disorders of middle ear and mastoid in diseases classified elsewhere",Other disorders of middle ear and mastoid in diseases classified elsewhere
"H80, Otosclerosis",Otosclerosis
"H81, Disorders of vestibular function",Disorders of vestibular function
"H83, Other diseases of inner ear",Other diseases of inner ear
"H90, Conductive and sensorineural hearing loss",Conductive and sensorineural hearing loss
"H91, Other hearing loss",Other hearing loss
"H92, Otalgia and effusion of ear",Otalgia and effusion of ear
"H93, Other disorders of ear, not elsewhere classified","Other disorders of ear, not elsewhere classified"
"H94, Other disorders of ear in diseases classified elsewhere",Other disorders of ear in diseases classified elsewhere
"H95, Postprocedural disorders of ear and mastoid process, not elsewhere classified","Postprocedural disorders of ear and mastoid process, not elsewhere classified"
"I01, Rheumatic fever with heart involvement",Rheumatic fever with heart involvement
"I02, Rheumatic chorea",Rheumatic chorea
