label,text
"80823, Lymphoepithelial carcinoma",Lymphoepithelial carcinoma
"80833, Basaloid squamous cell carcinoma",Basaloid squamous cell carcinoma
"80843, Squamous cell carcinoma, clear cell type","Squamous cell carcinoma, clear cell type"
"80853, Squamous cell carcinoma, HPV positive","Squamous cell carcinoma, HPV positive"
"80863, Squamous cell carcinoma, HPV negative","Squamous cell carcinoma, HPV negative"
"80901, Basal cell tumor",Basal cell tumor
"80903, Basal cell carcinoma, NOS","Basal cell carcinoma, NOS"
"80913, Superficial basal cell carcinoma",Superficial basal cell carcinoma
"80923, Infiltrating basal cell carcinoma, NOS","Infiltrating basal cell carcinoma, NOS"
"80933, Basal cell carcinoma, fibroepithelial","Basal cell carcinoma, fibroepithelial"
"80943, Basosquamous carcinoma",Basosquamous carcinoma
"80953, Metatypical carcinoma",Metatypical carcinoma
"80973, Basal cell carcinoma, nodular","Basal cell carcinoma, nodular"
"80983, Adenoid basal carcinoma",Adenoid basal carcinoma
"81003, Trichoblastic carcinoma",Trichoblastic carcinoma
"81023, Trichilemmocarcinoma",Trichilemmocarcinoma
"81031, Proliferating trichilemmal cyst",Proliferating trichilemmal cyst
"81103, Pilomatrical carcinoma",Pilomatrical carcinoma
"81202, Urothelial carcinoma in situ",Urothelial carcinoma in situ
"81203, Transitional cell carcinoma, NOS","Transitional cell carcinoma, NOS"
"81211, Sinonasal papilloma, inverted","Sinonasal papilloma, inverted"
"81213, Schneiderian carcinoma",Schneiderian carcinoma
"81223, Urothelial carcinoma, sarcomatoid","Urothelial carcinoma, sarcomatoid"
"81233, Basaloid carcinoma",Basaloid carcinoma
"81243, Cloacogenic carcinoma",Cloacogenic carcinoma
"81301, Papillary urothelial neoplasm of low malignant potential",Papillary urothelial neoplasm of low malignant potential
"81302, Papillary urothelial carcinoma, non-invasive","Papillary urothelial carcinoma, non-invasive"
"81303, Papillary urothelial carcinoma",Papillary urothelial carcinoma
"81313, Urothelial carcinoma, micropapillary","Urothelial carcinoma, micropapillary"
"81401, Atypical adenoma",Atypical adenoma
"81402, Adenocarcinoma in situ, NOS","Adenocarcinoma in situ, NOS"
"81403, Adenocarcinoma, NOS","Adenocarcinoma, NOS"
"81406, Adenocarcinoma, metastatic, NOS","Adenocarcinoma, metastatic, NOS"
"81413, Scirrhous adenocarcinoma",Scirrhous adenocarcinoma
"81423, Linitis plastica",Linitis plastica
"81433, Superficial spreading adenocarcinoma",Superficial spreading adenocarcinoma
"81443, Adenocarcinoma, intestinal type","Adenocarcinoma, intestinal type"
"81453, Carcinoma, diffuse type","Carcinoma, diffuse type"
"81473, Basal cell adenocarcinoma",Basal cell adenocarcinoma
"81482, Glandular intraepithelial neoplasia, high grade","Glandular intraepithelial neoplasia, high grade"
"81503, Pancreatic neuroendocrine tumor, nonfunctioning","Pancreatic neuroendocrine tumor, nonfunctioning"
"81513, Insulinoma, NOS","Insulinoma, NOS"
"81523, Glucagonoma",Glucagonoma
"81533, Gastrinoma",Gastrinoma
"81543, Mixed neuroendocrine non-neuroendocrine neoplasm",Mixed neuroendocrine non-neuroendocrine neoplasm
"81553, Vipoma",Vipoma
"81563, Somatostatinoma",Somatostatinoma
"81583, ACTH-producing tumor",ACTH-producing tumor
"81603, Cholangiocarcinoma",Cholangiocarcinoma
"81613, Bile duct cystadenocarcinoma",Bile duct cystadenocarcinoma
"81623, Perihilar cholangiocarcinoma",Perihilar cholangiocarcinoma
"81632, Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia","Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia"
"81633, Pancreatobiliary type carcinoma",Pancreatobiliary type carcinoma
"81703, Hepatocellular carcinoma, NOS","Hepatocellular carcinoma, NOS"
"81713, Hepatocellular carcinoma, fibrolamellar","Hepatocellular carcinoma, fibrolamellar"
"81723, Hepatocellular carcinoma, scirrhous","Hepatocellular carcinoma, scirrhous"
"81733, Hepatocellular carcinoma, spindle cell variant","Hepatocellular carcinoma, spindle cell variant"
"81743, Hepatocellular carcinoma, clear cell type","Hepatocellular carcinoma, clear cell type"
"81753, Hepatocellular carcinoma, pleomorphic type","Hepatocellular carcinoma, pleomorphic type"
"81803, Combined hepatocellular carcinoma and cholangiocarcinoma",Combined hepatocellular carcinoma and cholangiocarcinoma
"81903, Trabecular adenocarcinoma",Trabecular adenocarcinoma
"82003, Adenoid cystic carcinoma",Adenoid cystic carcinoma
"82012, Cribriform carcinoma in situ",Cribriform carcinoma in situ
"82013, Cribriform carcinoma, NOS","Cribriform carcinoma, NOS"
"82102, Adenocarcinoma in situ in adenomatous polyp",Adenocarcinoma in situ in adenomatous polyp
"82103, Adenocarcinoma in adenomatous polyp",Adenocarcinoma in adenomatous polyp
"82113, Tubular adenocarcinoma",Tubular adenocarcinoma
"82133, Serrated adenocarcinoma",Serrated adenocarcinoma
"82143, Parietal cell carcinoma",Parietal cell carcinoma
"82153, Adenocarcinoma of anal glands",Adenocarcinoma of anal glands
"82203, Adenocarcinoma in adenomatous polyposis coli",Adenocarcinoma in adenomatous polyposis coli
"82213, Adenocarcinoma in multiple adenomatous polyps",Adenocarcinoma in multiple adenomatous polyps
"82302, Ductal carcinoma in situ, solid type","Ductal carcinoma in situ, solid type"
"82303, Solid carcinoma, NOS","Solid carcinoma, NOS"
"82313, Carcinoma simplex",Carcinoma simplex
"82403, Neuroendocrine tumor, NOS","Neuroendocrine tumor, NOS"
"82413, Enterochromaffin cell carcinoid",Enterochromaffin cell carcinoid
"82423, Enterochromaffin-like cell tumor",Enterochromaffin-like cell tumor
"82433, Goblet cell carcinoid",Goblet cell carcinoid
"82443, Mixed adenoneuroendocrine carcinoma",Mixed adenoneuroendocrine carcinoma
"82451, Tubular carcinoid",Tubular carcinoid
"82453, Adenocarcinoid tumor",Adenocarcinoid tumor
"82463, Neuroendocrine carcinoma, NOS","Neuroendocrine carcinoma, NOS"
"82473, Merkel cell carcinoma",Merkel cell carcinoma
"82481, Apudoma",Apudoma
"82493, Neuroendocrine tumor, grade 2","Neuroendocrine tumor, grade 2"
"82501, Pulmonary adenomatosis",Pulmonary adenomatosis
"82502, Adenocarcinoma in situ of lung, non-mucinous","Adenocarcinoma in situ of lung, non-mucinous"
"82503, Lepidic adenocarcinoma",Lepidic adenocarcinoma
"82513, Alveolar adenocarcinoma",Alveolar adenocarcinoma
"82523, Bronchiolo-alveolar carcinoma, non-mucinous","Bronchiolo-alveolar carcinoma, non-mucinous"
"82532, Adenocarcinoma in situ of lung, mucinous","Adenocarcinoma in situ of lung, mucinous"
"82533, Adenocarcinoma of lung, mucinous","Adenocarcinoma of lung, mucinous"
"82543, Adenocarcinoma of lung, mixed mucinous and non-mucinous","Adenocarcinoma of lung, mixed mucinous and non-mucinous"
"82553, Adenocarcinoma with mixed subtypes",Adenocarcinoma with mixed subtypes
"82563, Minimally invasive adenocarcinoma, non-mucinous","Minimally invasive adenocarcinoma, non-mucinous"
"82573, Minimally invasive adenocarcinoma, mucinous","Minimally invasive adenocarcinoma, mucinous"
"82601, Aggressive papillary tumor",Aggressive papillary tumor
"82603, Papillary adenocarcinoma, NOS","Papillary adenocarcinoma, NOS"
"82612, Adenocarcinoma in situ in villous adenoma",Adenocarcinoma in situ in villous adenoma
"82613, Adenocarcinoma in villous adenoma",Adenocarcinoma in villous adenoma
"82623, Villous adenocarcinoma",Villous adenocarcinoma
"82632, Adenocarcinoma in situ in tubulovillous adenoma",Adenocarcinoma in situ in tubulovillous adenoma
"82633, Adenocarcinoma in tubulovillous adenoma",Adenocarcinoma in tubulovillous adenoma
"82653, Micropapillary carcinoma, NOS","Micropapillary carcinoma, NOS"
"82703, Chromophobe carcinoma",Chromophobe carcinoma
"82723, Pituitary carcinoma, NOS","Pituitary carcinoma, NOS"
"82733, Pituitary blastoma",Pituitary blastoma
"82803, Acidophil carcinoma",Acidophil carcinoma
"82813, Mixed acidophil-basophil carcinoma",Mixed acidophil-basophil carcinoma
"82903, Oxyphilic adenocarcinoma",Oxyphilic adenocarcinoma
"83003, Basophil carcinoma",Basophil carcinoma
"83103, Clear cell adenocarcinoma, NOS","Clear cell adenocarcinoma, NOS"
"83111, Hypernephroid tumor",Hypernephroid tumor
"83113, Hereditary leiomyomatosis and renal cell carcinoma",Hereditary leiomyomatosis and renal cell carcinoma
"83123, Renal cell carcinoma, NOS","Renal cell carcinoma, NOS"
"83131, Clear cell borderline tumor",Clear cell borderline tumor
"83133, Clear cell adenocarcinofibroma",Clear cell adenocarcinofibroma
"83143, Lipid-rich carcinoma",Lipid-rich carcinoma
"83153, Glycogen-rich carcinoma",Glycogen-rich carcinoma
"83161, Multilocular cystic renal neoplasm of low malignant potential",Multilocular cystic renal neoplasm of low malignant potential
"83163, Cyst-associated renal cell carcinoma",Cyst-associated renal cell carcinoma
"83173, Renal cell carcinoma, chromophobe type","Renal cell carcinoma, chromophobe type"
"83183, Renal cell carcinoma, sarcomatoid","Renal cell carcinoma, sarcomatoid"
"83193, Collecting duct carcinoma",Collecting duct carcinoma
"83203, Granular cell carcinoma",Granular cell carcinoma
"83223, Water-clear cell adenocarcinoma",Water-clear cell adenocarcinoma
"83231, Clear cell papillary renal cell carcinoma",Clear cell papillary renal cell carcinoma
"83233, Mixed cell adenocarcinoma",Mixed cell adenocarcinoma
"83301, Atypical follicular adenoma",Atypical follicular adenoma
"83303, Follicular carcinoma, NOS","Follicular carcinoma, NOS"
"83313, Follicular adenocarcinoma, well differentiated","Follicular adenocarcinoma, well differentiated"
"83323, Follicular adenocarcinoma, trabecular","Follicular adenocarcinoma, trabecular"
"83333, Fetal adenocarcinoma",Fetal adenocarcinoma
"83351, Follicular tumor of uncertain malignant potential",Follicular tumor of uncertain malignant potential
"83353, Follicular carcinoma, minimally invasive","Follicular carcinoma, minimally invasive"
"83361, Hyalinizing trabecular tumor",Hyalinizing trabecular tumor
"83373, Poorly differentiated thyroid carcinoma",Poorly differentiated thyroid carcinoma
"83393, Follicular carcinoma, encapsulated, angioinvasive","Follicular carcinoma, encapsulated, angioinvasive"
"83403, Papillary carcinoma, follicular variant","Papillary carcinoma, follicular variant"
"83413, Papillary microcarcinoma",Papillary microcarcinoma
"83423, Papillary carcinoma, oncocytic variant","Papillary carcinoma, oncocytic variant"
"83433, Papillary carcinoma, encapsulated, of thyroid","Papillary carcinoma, encapsulated, of thyroid"
"83443, Papillary carcinoma, columnar cell","Papillary carcinoma, columnar cell"
"83453, Medullary thyroid carcinoma",Medullary thyroid carcinoma
"83463, Mixed medullary-follicular carcinoma",Mixed medullary-follicular carcinoma
"83473, Mixed medullary-papillary carcinoma",Mixed medullary-papillary carcinoma
"83481, Well differentiated tumor of uncertain malignant potential",Well differentiated tumor of uncertain malignant potential
"83491, Non-invasive follicular thyroid neoplasm with papillary-like nuclear features",Non-invasive follicular thyroid neoplasm with papillary-like nuclear features
"83503, Nonencapsulated sclerosing carcinoma",Nonencapsulated sclerosing carcinoma
"83601, Multiple endocrine adenomas",Multiple endocrine adenomas
"83703, Adrenal cortical carcinoma",Adrenal cortical carcinoma
"83801, Endometrioid adenoma, borderline malignancy","Endometrioid adenoma, borderline malignancy"
"83802, Endometrioid intraepithelial neoplasia",Endometrioid intraepithelial neoplasia
"83803, Endometrioid adenocarcinoma, NOS","Endometrioid adenocarcinoma, NOS"
"83811, Endometrioid adenofibroma, borderline malignancy","Endometrioid adenofibroma, borderline malignancy"
"83813, Endometrioid adenofibroma, malignant","Endometrioid adenofibroma, malignant"
"83823, Endometrioid adenocarcinoma, secretory variant","Endometrioid adenocarcinoma, secretory variant"
"83833, Endometrioid adenocarcinoma, ciliated cell variant","Endometrioid adenocarcinoma, ciliated cell variant"
"83843, Adenocarcinoma, endocervical type, NOS","Adenocarcinoma, endocervical type, NOS"
"83903, Adnexal adenocarcinoma, NOS","Adnexal adenocarcinoma, NOS"
"84001, Sweat gland tumor, NOS","Sweat gland tumor, NOS"
"84003, Sweat gland adenocarcinoma",Sweat gland adenocarcinoma
"84013, Apocrine adenocarcinoma",Apocrine adenocarcinoma
"84023, Hidradenocarcinoma",Hidradenocarcinoma
"84033, Malignant eccrine spiradenoma",Malignant eccrine spiradenoma
"84063, Syringocystadenocarcinoma papilliferum",Syringocystadenocarcinoma papilliferum
"84073, Microcystic adnexal carcinoma",Microcystic adnexal carcinoma
"84083, Digital papillary adenocarcinoma",Digital papillary adenocarcinoma
"84092, Porocarcinoma in situ",Porocarcinoma in situ
"84093, Porocarcinoma, NOS","Porocarcinoma, NOS"
"84103, Sebaceous carcinoma",Sebaceous carcinoma
"84133, Eccrine adenocarcinoma",Eccrine adenocarcinoma
"84203, Ceruminous adenocarcinoma",Ceruminous adenocarcinoma
"84301, Mucoepidermoid tumor",Mucoepidermoid tumor
"84303, Mucoepidermoid carcinoma",Mucoepidermoid carcinoma
"84403, Cystadenocarcinoma, NOS","Cystadenocarcinoma, NOS"
"84412, Serous intraepithelial carcinoma",Serous intraepithelial carcinoma
"84413, Serous carcinoma, NOS","Serous carcinoma, NOS"
"84421, Serous borderline tumor, NOS","Serous borderline tumor, NOS"
"84503, Papillary cystadenocarcinoma, NOS","Papillary cystadenocarcinoma, NOS"
"84511, Papillary cystadenoma, borderline malignancy","Papillary cystadenoma, borderline malignancy"
"84521, Solid pseudopapillary tumor of ovary",Solid pseudopapillary tumor of ovary
"84523, Solid pseudopapillary neoplasm of pancreas",Solid pseudopapillary neoplasm of pancreas
"84532, Intraductal papillary mucinous neoplasm with high grade dysplasia",Intraductal papillary mucinous neoplasm with high grade dysplasia
"84533, Intraductal papillary mucinous neoplasm with an associated invasive carcinoma",Intraductal papillary mucinous neoplasm with an associated invasive carcinoma
"84602, Serous borderline tumor, micropapillary variant","Serous borderline tumor, micropapillary variant"
"84603, Low grade serous carcinoma",Low grade serous carcinoma
"84613, High grade serous carcinoma",High grade serous carcinoma
"84702, Mucinous cystic neoplasm with high grade dysplasia",Mucinous cystic neoplasm with high grade dysplasia
"84703, Mucinous cystadenocarcinoma, NOS","Mucinous cystadenocarcinoma, NOS"
"84721, Mucinous cystic tumor of borderline malignancy",Mucinous cystic tumor of borderline malignancy
"84741, Seromucinous borderline tumor",Seromucinous borderline tumor
"84743, Seromucinous carcinoma",Seromucinous carcinoma
"84801, Low grade appendiceal mucinous neoplasm",Low grade appendiceal mucinous neoplasm
"84803, Mucinous adenocarcinoma",Mucinous adenocarcinoma
"84806, Pseudomyxoma peritonei",Pseudomyxoma peritonei
"84813, Mucin-producing adenocarcinoma",Mucin-producing adenocarcinoma
"84823, Mucinous carcinoma, gastric type","Mucinous carcinoma, gastric type"
"84903, Signet ring cell carcinoma",Signet ring cell carcinoma
"84906, Metastatic signet ring cell carcinoma",Metastatic signet ring cell carcinoma
"85002, Intraductal carcinoma, noninfiltrating, NOS","Intraductal carcinoma, noninfiltrating, NOS"
"85003, Infiltrating duct carcinoma, NOS","Infiltrating duct carcinoma, NOS"
"85012, Comedocarcinoma, noninfiltrating","Comedocarcinoma, noninfiltrating"
"85013, Comedocarcinoma, NOS","Comedocarcinoma, NOS"
"85023, Secretory carcinoma",Secretory carcinoma
"85032, Noninfiltrating intraductal papillary adenocarcinoma",Noninfiltrating intraductal papillary adenocarcinoma
"85033, Intraductal papillary adenocarcinoma with invasion",Intraductal papillary adenocarcinoma with invasion
"85042, Encapsulated papillary carcinoma",Encapsulated papillary carcinoma
"85043, Encapsulated papillary carcinoma with invasion",Encapsulated papillary carcinoma with invasion
"85072, Intraductal micropapillary carcinoma",Intraductal micropapillary carcinoma
"85073, Invasive micropapillary carcinoma of breast",Invasive micropapillary carcinoma of breast
"85083, Cystic hypersecretory carcinoma",Cystic hypersecretory carcinoma
"85092, Solid papillary carcinoma in situ",Solid papillary carcinoma in situ
"85093, Solid papillary carcinoma with invasion",Solid papillary carcinoma with invasion
"85103, Medullary carcinoma, NOS","Medullary carcinoma, NOS"
"85123, Medullary carcinoma with lymphoid stroma",Medullary carcinoma with lymphoid stroma
"85133, Atypical medullary carcinoma",Atypical medullary carcinoma
"85143, Duct carcinoma, desmoplastic type","Duct carcinoma, desmoplastic type"
"85192, Lobular carcinoma in situ, pleomorphic","Lobular carcinoma in situ, pleomorphic"
"85202, Lobular carcinoma in situ, NOS","Lobular carcinoma in situ, NOS"
"85203, Lobular carcinoma, NOS","Lobular carcinoma, NOS"
"85213, Infiltrating ductular carcinoma",Infiltrating ductular carcinoma
"85222, Intraductal carcinoma and lobular carcinoma in situ",Intraductal carcinoma and lobular carcinoma in situ
"85223, Infiltrating duct and lobular carcinoma",Infiltrating duct and lobular carcinoma
"85233, Infiltrating duct mixed with other types of carcinoma",Infiltrating duct mixed with other types of carcinoma
"85243, Infiltrating lobular mixed with other types of carcinoma",Infiltrating lobular mixed with other types of carcinoma
"85253, Polymorphous adenocarcinoma",Polymorphous adenocarcinoma
"85303, Inflammatory carcinoma",Inflammatory carcinoma
"85403, Paget disease, mammary","Paget disease, mammary"
"85413, Paget disease and infiltrating duct carcinoma of breast",Paget disease and infiltrating duct carcinoma of breast
"85423, Paget disease, extramammary","Paget disease, extramammary"
"85433, Paget disease and intraductal carcinoma of breast",Paget disease and intraductal carcinoma of breast
"85501, Acinar cell tumor",Acinar cell tumor
"85503, Acinar cell carcinoma",Acinar cell carcinoma
"85513, Acinar cell cystadenocarcinoma",Acinar cell cystadenocarcinoma
"85523, Mixed acinar-ductal carcinoma",Mixed acinar-ductal carcinoma
"85603, Adenosquamous carcinoma",Adenosquamous carcinoma
"85623, Epithelial-myoepithelial carcinoma",Epithelial-myoepithelial carcinoma
"85703, Adenocarcinoma with squamous metaplasia",Adenocarcinoma with squamous metaplasia
"85713, Adenocarcinoma with cartilaginous and osseous metaplasia",Adenocarcinoma with cartilaginous and osseous metaplasia
"85723, Adenocarcinoma with spindle cell metaplasia",Adenocarcinoma with spindle cell metaplasia
"85733, Adenocarcinoma with apocrine metaplasia",Adenocarcinoma with apocrine metaplasia
"85743, Adenocarcinoma with neuroendocrine differentiation",Adenocarcinoma with neuroendocrine differentiation
"85753, Metaplastic carcinoma, NOS","Metaplastic carcinoma, NOS"
"85763, Hepatoid adenocarcinoma",Hepatoid adenocarcinoma
"85801, Micronodular thymoma with lymphoid stroma",Micronodular thymoma with lymphoid stroma
"85803, Thymoma, NOS","Thymoma, NOS"
"85813, Thymoma, type A","Thymoma, type A"
"85823, Thymoma, type AB","Thymoma, type AB"
"85833, Thymoma, type B1","Thymoma, type B1"
"85843, Thymoma, type B2","Thymoma, type B2"
"85853, Thymoma, type B3","Thymoma, type B3"
"85863, Thymic carcinoma, NOS","Thymic carcinoma, NOS"
"85883, Spindle epithelial tumor with thymus-like element",Spindle epithelial tumor with thymus-like element
"85893, Intrathyroid thymic carcinoma",Intrathyroid thymic carcinoma
"85901, Sex cord-gonadal stromal tumor, NOS","Sex cord-gonadal stromal tumor, NOS"
"85911, Sex cord-gonadal stromal tumor, incompletely differentiated","Sex cord-gonadal stromal tumor, incompletely differentiated"
"85921, Sex cord-gonadal stromal tumor, mixed forms","Sex cord-gonadal stromal tumor, mixed forms"
"85931, Stromal tumor with minor sex cord elements",Stromal tumor with minor sex cord elements
"85941, Mixed germ cell-sex cord-stromal tumor, NOS","Mixed germ cell-sex cord-stromal tumor, NOS"
"86003, Thecoma, malignant","Thecoma, malignant"
"86201, Adult granulosa cell tumor of testis",Adult granulosa cell tumor of testis
"86203, Adult granulosa cell tumor of ovary",Adult granulosa cell tumor of ovary
"86211, Granulosa cell-theca cell tumor",Granulosa cell-theca cell tumor
"86221, Granulosa cell tumor, juvenile","Granulosa cell tumor, juvenile"
"86231, Sex cord tumor with annular tubules",Sex cord tumor with annular tubules
"86301, Androblastoma, NOS","Androblastoma, NOS"
"86303, Androblastoma, malignant","Androblastoma, malignant"
"86311, Sertoli-Leydig cell tumor of intermediate differentiation, NOS","Sertoli-Leydig cell tumor of intermediate differentiation, NOS"
"86313, Sertoli-Leydig cell tumor, poorly differentiated","Sertoli-Leydig cell tumor, poorly differentiated"
"86321, Gynandroblastoma",Gynandroblastoma
"86331, Sertoli-Leydig cell tumor, retiform","Sertoli-Leydig cell tumor, retiform"
"86341, Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements","Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements"
"86343, Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements","Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements"
"86401, Sertoli cell tumor, NOS","Sertoli cell tumor, NOS"
"86403, Sertoli cell carcinoma",Sertoli cell carcinoma
"86421, Large cell calcifying Sertoli cell tumor",Large cell calcifying Sertoli cell tumor
"86431, Intratubular large cell hyalinizing Sertoli cell neoplasia",Intratubular large cell hyalinizing Sertoli cell neoplasia
"86501, Leydig cell tumor of testis, NOS","Leydig cell tumor of testis, NOS"
"86503, Leydig cell tumor, malignant","Leydig cell tumor, malignant"
"86703, Steroid cell tumor, malignant","Steroid cell tumor, malignant"
"86803, Paraganglioma, NOS","Paraganglioma, NOS"
"86813, Sympathetic paraganglioma",Sympathetic paraganglioma
"86823, Parasympathetic paraganglioma",Parasympathetic paraganglioma
"86903, Middle ear paraganglioma",Middle ear paraganglioma
"86913, Aortic body tumor",Aortic body tumor
"86923, Carotid body paraganglioma",Carotid body paraganglioma
"86933, Extra-adrenal paraganglioma, NOS","Extra-adrenal paraganglioma, NOS"
"87003, Pheochromocytoma, NOS","Pheochromocytoma, NOS"
"87103, Glomangiosarcoma",Glomangiosarcoma
"87111, Glomangiomatosis",Glomangiomatosis
"87113, Glomus tumor, malignant","Glomus tumor, malignant"
"87143, Perivascular epithelioid tumor, malignant","Perivascular epithelioid tumor, malignant"
"87202, Melanoma in situ",Melanoma in situ
"87203, Malignant melanoma, NOS","Malignant melanoma, NOS"
"87213, Nodular melanoma",Nodular melanoma
"87223, Balloon cell melanoma",Balloon cell melanoma
"87233, Malignant melanoma, regressing","Malignant melanoma, regressing"
"87281, Meningeal melanocytoma",Meningeal melanocytoma
"87283, Meningeal melanomatosis",Meningeal melanomatosis
"87303, Amelanotic melanoma",Amelanotic melanoma
"87403, Malignant melanoma in junctional nevus",Malignant melanoma in junctional nevus
"87412, Precancerous melanosis, NOS","Precancerous melanosis, NOS"
"87413, Malignant melanoma in precancerous melanosis",Malignant melanoma in precancerous melanosis
"87422, Lentigo maligna",Lentigo maligna
"87423, Lentigo maligna melanoma",Lentigo maligna melanoma
"87433, Low cumulative sun damage melanoma",Low cumulative sun damage melanoma
"87443, Acral melanoma",Acral melanoma
"87453, Desmoplastic melanoma, NOS","Desmoplastic melanoma, NOS"
"87463, Mucosal lentiginous melanoma",Mucosal lentiginous melanoma
"87611, Giant pigmented nevus, NOS","Giant pigmented nevus, NOS"
"87613, Malignant melanoma arising in giant congenital nevus",Malignant melanoma arising in giant congenital nevus
"87621, Proliferative dermal lesion in congenital nevus",Proliferative dermal lesion in congenital nevus
"87703, Malignant Spitz tumor",Malignant Spitz tumor
"87713, Epithelioid cell melanoma",Epithelioid cell melanoma
"87723, Spindle cell melanoma, NOS","Spindle cell melanoma, NOS"
"87733, Spindle cell melanoma, type A","Spindle cell melanoma, type A"
"87743, Spindle cell melanoma, type B","Spindle cell melanoma, type B"
"87801, Pigmented epithelioid melanocytoma",Pigmented epithelioid melanocytoma
"87803, Blue nevus, malignant","Blue nevus, malignant"
"88003, Sarcoma, NOS","Sarcoma, NOS"
"88009, Sarcomatosis, NOS","Sarcomatosis, NOS"
"88013, Spindle cell sarcoma",Spindle cell sarcoma
"88021, Pleomorphic hyalinizing angiectatic tumor",Pleomorphic hyalinizing angiectatic tumor
