label,text
"A05AA, Bileacidpreparations",Bileacidpreparations
"A05AA01, Chenodeoxycholicacid",Chenodeoxycholicacid
"A05AA02, Ursodeoxycholicacid",Ursodeoxycholicacid
"A05AA03, Cholicacid",Cholicacid
"A05AA04, Obeticholicacid",Obeticholicacid
"A05AB, Preparationsforbiliarytracttherapy",Preparationsforbiliarytracttherapy
"A05AB01, Nicotinylmethylamide",Nicotinylmethylamide
"A05AX, Otherdrugsforbiletherapy",Otherdrugsforbiletherapy
"A05AX01, Piprozolin",Piprozolin
"A05AX02, Hymecromone",Hymecromone
"A05AX03, Cyclobutyrol",Cyclobutyrol
"A05B, Liver therapy, lipotropics","Liver therapy, lipotropics"
"A05BA, Livertherapy",Livertherapy
"A05BA01, Arginineglutamate",Arginineglutamate
"A05BA03, Silymarin",Silymarin
"A05BA04, Citiolone",Citiolone
"A05BA05, Epomediol",Epomediol
"A05BA06, Ornithineoxoglutarate",Ornithineoxoglutarate
"A05BA07, Tidiacicarginine",Tidiacicarginine
"A05BA08, Glycyrrhizicacid(glycyrrhizin)",Glycyrrhizicacid(glycyrrhizin)
"A05C, Drugs for bile therapy and lipotropics in combination",Drugs for bile therapy and lipotropics in combination
"A06A, Drugs for constipation",Drugs for constipation
"A06AA, Softeners, emollients","Softeners, emollients"
"A06AA01, Liquidparaffin",Liquidparaffin
"A06AA02, Docusatesodium",Docusatesodium
"A06AA51, Liquidparaffin,combinations","Liquidparaffin,combinations"
"A06AB, Contact laxatives",Contact laxatives
"A06AB01, Oxyphenisatine",Oxyphenisatine
"A06AB02, Bisacodyl",Bisacodyl
"A06AB03, Dantron",Dantron
"A06AB04, Phenolphthalein",Phenolphthalein
"A06AB05, Castoroil",Castoroil
"A06AB06, Sennaglycosides",Sennaglycosides
"A06AB07, Cascara",Cascara
"A06AB08, Sodiumpicosulfate",Sodiumpicosulfate
"A06AB09, Bisoxatin",Bisoxatin
"A06AB20, Contactlaxativesincombination",Contactlaxativesincombination
"A06AB30, Contactlaxativesincombinationwithbelladonnaalkaloids",Contactlaxativesincombinationwithbelladonnaalkaloids
"A06AB52, Bisacodyl,combinations","Bisacodyl,combinations"
"A06AB53, Dantron,combinations","Dantron,combinations"
"A06AB56, Sennaglycosides,combinations","Sennaglycosides,combinations"
"A06AB57, Cascara,combinations","Cascara,combinations"
"A06AB58, Sodiumpicosulfate,combinations","Sodiumpicosulfate,combinations"
"A06AC, Bulk-forming laxatives",Bulk-forming laxatives
"A06AC01, Ispaghula(psyllaseeds)",Ispaghula(psyllaseeds)
"A06AC02, Ethulose",Ethulose
"A06AC03, Sterculia",Sterculia
"A06AC05, Linseed",Linseed
"A06AC06, Methylcellulose",Methylcellulose
"A06AC07, Triticum(wheatfibre)",Triticum(wheatfibre)
"A06AC08, Polycarbophilcalcium",Polycarbophilcalcium
"A06AC51, Ispaghula,combinations","Ispaghula,combinations"
"A06AC53, Sterculia,combinations","Sterculia,combinations"
"A06AC55, Linseed,combinations","Linseed,combinations"
"A06AD, Osmotically acting laxatives",Osmotically acting laxatives
"A06AD01, Magnesiumcarbonate",Magnesiumcarbonate
"A06AD02, Magnesiumoxide",Magnesiumoxide
"A06AD03, Magnesiumperoxide",Magnesiumperoxide
"A06AD04, Magnesiumsulfate",Magnesiumsulfate
"A06AD10, Mineralsaltsincombination",Mineralsaltsincombination
"A06AD11, Lactulose",Lactulose
"A06AD12, Lactitol",Lactitol
"A06AD13, Sodiumsulfate",Sodiumsulfate
"A06AD14, Pentaerithrityl",Pentaerithrityl
"A06AD15, Macrogol",Macrogol
"A06AD16, Mannitol",Mannitol
"A06AD17, Sodiumphosphate",Sodiumphosphate
"A06AD18, Sorbitol",Sorbitol
"A06AD19, Magnesiumcitrate",Magnesiumcitrate
"A06AD21, Sodiumtartrate",Sodiumtartrate
"A06AD61, Lactulose,combinations","Lactulose,combinations"
"A06AD65, Macrogol,combinations","Macrogol,combinations"
"A06AG, Enemas drugs",Enemas drugs
"A06AG01, Sodiumphosphate",Sodiumphosphate
"A06AG02, Bisacodyl",Bisacodyl
"A06AG03, Dantron,includingcombinations","Dantron,includingcombinations"
"A06AG04, Glycerol",Glycerol
"A06AG06, Oil",Oil
"A06AG07, Sorbitol",Sorbitol
"A06AG10, Docusatesodium,includingcombinations","Docusatesodium,includingcombinations"
"A06AG11, Laurilsulfate,includingcombinations","Laurilsulfate,includingcombinations"
"A06AG20, Combinations",Combinations
"A06AH, Peripheral opioid receptor antagonists",Peripheral opioid receptor antagonists
"A06AH01, Methylnaltrexonebromide",Methylnaltrexonebromide
"A06AH02, Alvimopan",Alvimopan
"A06AH03, Naloxegol",Naloxegol
"A06AX, Other drugs for constipation",Other drugs for constipation
"A06AX01, Glycerol",Glycerol
"A06AX02, Carbondioxideproducingdrugs",Carbondioxideproducingdrugs
"A06AX03, Lubiprostone",Lubiprostone
"A06AX04, Linaclotide",Linaclotide
"A06AX05, Prucalopride",Prucalopride
"A06AX06, Tegaserod",Tegaserod
"A06AX07, Plecanatide",Plecanatide
"A07, Antidiarrheals, intestinal anti-inflammatory/anti-infective agents","Antidiarrheals, intestinal anti-inflammatory/anti-infective agents"
"A07A, Intestinal anti-infectives",Intestinal anti-infectives
"A07AA, Antibiotics",Antibiotics
"A07AA01, Neomycin",Neomycin
"A07AA02, Nystatin",Nystatin
"A07AA03, Natamycin",Natamycin
"A07AA04, Streptomycin",Streptomycin
"A07AA05, PolymyxinB",PolymyxinB
"A07AA06, Paromomycin",Paromomycin
"A07AA07, AmphotericinB",AmphotericinB
"A07AA08, Kanamycin",Kanamycin
"A07AA09, Vancomycin",Vancomycin
"A07AA10, Colistin",Colistin
"A07AA11, Rifaximin",Rifaximin
"A07AA12, Fidaxomicin",Fidaxomicin
"A07AA51, Neomycin,combinations","Neomycin,combinations"
"A07AA54, Streptomycin,combinations","Streptomycin,combinations"
"A07AB, Sulfonamides",Sulfonamides
"A07AB02, Phthalylsulfathiazole",Phthalylsulfathiazole
"A07AB03, Sulfaguanidine",Sulfaguanidine
"A07AB04, Succinylsulfathiazole",Succinylsulfathiazole
"A07AC, Imidazolederivatives",Imidazolederivatives
"A07AC01, Miconazole",Miconazole
"A07AX, Otherintestinalanti-infectives",Otherintestinalanti-infectives
"A07AX01, Broxyquinoline",Broxyquinoline
"A07AX02, Acetarsol",Acetarsol
"A07AX03, Nifuroxazide",Nifuroxazide
"A07AX04, Nifurzide",Nifurzide
"A07B, Intestinal adsorbents",Intestinal adsorbents
"A07BA, Charcoalpreparations",Charcoalpreparations
"A07BA01, Medicinalcharcoal",Medicinalcharcoal
"A07BA51, Medicinalcharcoal,combinations","Medicinalcharcoal,combinations"
"A07BC, Otherintestinaladsorbents",Otherintestinaladsorbents
"A07BC01, Pectin",Pectin
"A07BC02, Kaolin",Kaolin
"A07BC03, Crospovidone",Crospovidone
"A07BC04, Attapulgite",Attapulgite
"A07BC05, Diosmectite",Diosmectite
"A07BC30, Combinations",Combinations
"A07BC54, Attapulgite,combinations","Attapulgite,combinations"
"A07C, Electrolytes with carbohydrates",Electrolytes with carbohydrates
"A07CA, Oralrehydrationsaltformulations",Oralrehydrationsaltformulations
"A07DA, Antipropulsives",Antipropulsives
"A07DA01, Diphenoxylate",Diphenoxylate
"A07DA02, Opium",Opium
"A07DA03, Loperamide",Loperamide
"A07DA04, Difenoxin",Difenoxin
"A07DA05, Loperamideoxide",Loperamideoxide
"A07DA06, Eluxadoline",Eluxadoline
"A07DA52, Morphine,combinations","Morphine,combinations"
"A07DA53, Loperamide,combinations","Loperamide,combinations"
"A07E, Intestinal anti-inflammatory agents",Intestinal anti-inflammatory agents
"A07EA, Corticosteroidsactinglocally",Corticosteroidsactinglocally
"A07EA01, Prednisolone",Prednisolone
"A07EA02, Hydrocortisone",Hydrocortisone
"A07EA03, Prednisone",Prednisone
"A07EA04, Betamethasone",Betamethasone
"A07EA05, Tixocortol",Tixocortol
"A07EA06, Budesonide",Budesonide
"A07EA07, Beclometasone",Beclometasone
"A07EB, Antiallergicagents,excludingcorticosteroids","Antiallergicagents,excludingcorticosteroids"
"A07EB01, Cromoglicicacid",Cromoglicicacid
"A07EC, Aminosalicylicacidandsimilaragents",Aminosalicylicacidandsimilaragents
"A07EC01, Sulfasalazine",Sulfasalazine
"A07EC02, Mesalazine",Mesalazine
"A07EC03, Olsalazine",Olsalazine
"A07EC04, Balsalazide",Balsalazide
"A07FA, Antidiarrheal micro-organisms",Antidiarrheal micro-organisms
"A07FA01, Lacticacidproducingorganisms",Lacticacidproducingorganisms
"A07FA02, Saccharomycesboulardii",Saccharomycesboulardii
"A07FA51, Lacticacidproducingorganisms,combinations","Lacticacidproducingorganisms,combinations"
"A07XA, Other antidiarrheals",Other antidiarrheals
"A07XA01, Albumintannate",Albumintannate
"A07XA02, Ceratonia",Ceratonia
"A07XA03, Calciumcompounds",Calciumcompounds
"A07XA04, Racecadotril",Racecadotril
"A07XA51, Albumintannate,combinations","Albumintannate,combinations"
"A08, Antiobesity preparations, excluding diet products","Antiobesity preparations, excluding diet products"
"A08A, Anti obesity drugs list, excluding diet products","Anti obesity drugs list, excluding diet products"
"A08AA, Centrallyactingantiobesitydrugs",Centrallyactingantiobesitydrugs
"A08AA01, Phentermine",Phentermine
"A08AA02, Fenfluramine",Fenfluramine
"A08AA03, Amfepramone",Amfepramone
"A08AA04, Dexfenfluramine",Dexfenfluramine
"A08AA05, Mazindol",Mazindol
"A08AA06, Etilamfetamine",Etilamfetamine
"A08AA07, Cathine",Cathine
"A08AA08, Clobenzorex",Clobenzorex
"A08AA09, Mefenorex",Mefenorex
"A08AA10, Sibutramine",Sibutramine
"A08AA11, Lorcaserin",Lorcaserin
"A08AA56, Ephedrine,combinations","Ephedrine,combinations"
"A08AA62, Bupropionandnaltrexone",Bupropionandnaltrexone
"A08AB, Peripherallyactingantiobesitydrugs",Peripherallyactingantiobesitydrugs
"A08AB01, Orlistat",Orlistat
"A08AX, Otherantiobesitydrugs",Otherantiobesitydrugs
"A08AX01, Rimonabant",Rimonabant
"A09A, Digestives, including enzymes","Digestives, including enzymes"
"A09AA, Enzyme preparations",Enzyme preparations
"A09AA01, Diastase",Diastase
"A09AA02, Multienzymes(lipase,protease,etc.)","Multienzymes(lipase,protease,etc.)"
"A09AA03, Pepsin",Pepsin
"A09AA04, Tilactase",Tilactase
"A09AB, Acid preparations",Acid preparations
"A09AB01, Glutamicacidhydrochloride",Glutamicacidhydrochloride
"A09AB02, Betainehydrochloride",Betainehydrochloride
"A09AB03, Hydrochloricacid",Hydrochloricacid
"A09AB04, Citricacid",Citricacid
"A09AC, Enzyme and acid preparations, combinations","Enzyme and acid preparations, combinations"
"A09AC01, Pepsinandacidpreparations",Pepsinandacidpreparations
"A09AC02, Multienzymesandacidpreparations",Multienzymesandacidpreparations
"A10, Drugs used in diabetes",Drugs used in diabetes
"A10A, Insulins and analogues",Insulins and analogues
"A10AB, Insulinsandanaloguesforinjection,fast-acting","Insulinsandanaloguesforinjection,fast-acting"
"A10AB01, Insulin(human)",Insulin(human)
"A10AB02, Insulin(beef)",Insulin(beef)
"A10AB03, Insulin(pork)",Insulin(pork)
"A10AB04, Insulinlispro",Insulinlispro
"A10AB05, Insulinaspart",Insulinaspart
"A10AB06, Insulinglulisine",Insulinglulisine
"A10AB30, Combinations",Combinations
"A10AC, Insulinsandanaloguesforinjection,intermediate-acting","Insulinsandanaloguesforinjection,intermediate-acting"
"A10AC01, Insulin(human)",Insulin(human)
"A10AC02, Insulin(beef)",Insulin(beef)
"A10AC03, Insulin(pork)",Insulin(pork)
"A10AC04, Insulinlispro",Insulinlispro
"A10AC30, Combinations",Combinations
"A10AD, Insulinsandanaloguesforinjection,intermediate-orlong-actingcombinedwithfast-acting","Insulinsandanaloguesforinjection,intermediate-orlong-actingcombinedwithfast-acting"
"A10AD01, Insulin(human)",Insulin(human)
"A10AD02, Insulin(beef)",Insulin(beef)
"A10AD03, Insulin(pork)",Insulin(pork)
"A10AD04, Insulinlispro",Insulinlispro
"A10AD05, Insulinaspart",Insulinaspart
"A10AD06, Insulindegludecandinsulinaspart",Insulindegludecandinsulinaspart
"A10AD30, Combinations",Combinations
"A10AE, Insulinsandanaloguesforinjection,long-acting","Insulinsandanaloguesforinjection,long-acting"
"A10AE01, Insulin(human)",Insulin(human)
"A10AE02, Insulin(beef)",Insulin(beef)
"A10AE03, Insulin(pork)",Insulin(pork)
"A10AE04, Insulinglargine",Insulinglargine
"A10AE05, Insulindetemir",Insulindetemir
"A10AE06, Insulindegludec",Insulindegludec
"A10AE30, Combinations",Combinations
"A10AE54, Insulinglargineandlixisenatide",Insulinglargineandlixisenatide
"A10AE56, Insulindegludecandliraglutide",Insulindegludecandliraglutide
"A10AF, Insulinsandanaloguesforinhalation",Insulinsandanaloguesforinhalation
"A10AF01, Insulin(human)",Insulin(human)
"A10B, Blood glucose lowering drugs, excluding insulins","Blood glucose lowering drugs, excluding insulins"
"A10BA, Biguanides",Biguanides
"A10BA01, Phenformin",Phenformin
"A10BA02, Metformin",Metformin
"A10BA03, Buformin",Buformin
"A10BB, Sulfonylureas",Sulfonylureas
"A10BB01, Glibenclamide",Glibenclamide
"A10BB02, Chlorpropamide",Chlorpropamide
"A10BB03, Tolbutamide",Tolbutamide
"A10BB04, Glibornuride",Glibornuride
"A10BB05, Tolazamide",Tolazamide
"A10BB06, Carbutamide",Carbutamide
"A10BB07, Glipizide",Glipizide
"A10BB08, Gliquidone",Gliquidone
"A10BB09, Gliclazide",Gliclazide
"A10BB10, Metahexamide",Metahexamide
"A10BB11, Glisoxepide",Glisoxepide
"A10BB12, Glimepiride",Glimepiride
"A10BB31, Acetohexamide",Acetohexamide
"A10BC, Sulfonamides(heterocyclic)",Sulfonamides(heterocyclic)
"A10BC01, Glymidine",Glymidine
"A10BD, Combinationsoforalbloodglucoseloweringdrugs",Combinationsoforalbloodglucoseloweringdrugs
"A10BD01, Phenforminandsulfonamides",Phenforminandsulfonamides
"A10BD02, Metforminandsulfonamides",Metforminandsulfonamides
"A10BD03, Metforminandrosiglitazone",Metforminandrosiglitazone
"A10BD04, Glimepirideandrosiglitazone",Glimepirideandrosiglitazone
"A10BD05, Metforminandpioglitazone",Metforminandpioglitazone
"A10BD06, Glimepirideandpioglitazone",Glimepirideandpioglitazone
"A10BD07, Metforminandsitagliptin",Metforminandsitagliptin
"A10BD08, Metforminandvildagliptin",Metforminandvildagliptin
"A10BD09, Pioglitazoneandalogliptin",Pioglitazoneandalogliptin
"A10BD10, Metforminandsaxagliptin",Metforminandsaxagliptin
"A10BD11, Metforminandlinagliptin",Metforminandlinagliptin
"A10BD12, Pioglitazoneandsitagliptin",Pioglitazoneandsitagliptin
"A10BD13, Metforminandalogliptin",Metforminandalogliptin
"A10BD14, Metforminandrepaglinide",Metforminandrepaglinide
"A10BD15, Metforminanddapagliflozin",Metforminanddapagliflozin
"A10BD16, Metforminandcanagliflozin",Metforminandcanagliflozin
"A10BD17, Metforminandacarbose",Metforminandacarbose
"A10BD18, Metforminandgemigliptin",Metforminandgemigliptin
"A10BD19, Linagliptinandempagliflozin",Linagliptinandempagliflozin
"A10BD20, Metforminandempagliflozin",Metforminandempagliflozin
